observation_type,id,num_observed,survey_area,point_x,point_y,kafue_national_park_centroid,kidepo_valley_national_park_centroid,south_luangwa_national_park_centroid,north_luangwa_national_park_centroid,lukusuzi_national_park_centroid,survey_id
Buffalo,1,2,Luangwa,3530762.925,-1412249.412,,,,,,59
Buffalo,2,3,Luangwa,3534072.453,-1412423.809,,,,,,59
Buffalo,3,1,Luangwa,3576632.9,-1458537.724,,,,,,59
Buffalo,4,13,Luangwa,3481409.206,-1504681.271,,,,,,59
Buffalo,5,4,Luangwa,3567590.529,-1423443.416,,,,,,59
Buffalo,6,200,Luangwa,3567982.374,-1423467.834,,,,,,59
Buffalo,7,2,Luangwa,3573519.739,-1423466.009,,,,,,59
Buffalo,8,2,Luangwa,3567217.386,-1435711.431,,,,,,59
Buffalo,9,40,Luangwa,3572380.607,-1441965.91,,,,,,59
Buffalo,10,1,Luangwa,3545049.557,-1460311.856,,,,,,59
Buffalo,11,12,Luangwa,3551895.594,-1460418.109,,,,,,59
Buffalo,12,50,Luangwa,3541562.585,-1466608.531,,,,,,59
Buffalo,13,1,Luangwa,3539556.051,-1466586.818,,,,,,59
Buffalo,14,1,Luangwa,3535546.546,-1466614.816,,,,,,59
Buffalo,15,1,Luangwa,3538396.548,-1472639.947,,,,,,59
Buffalo,16,200,Luangwa,3534788.572,-1484947.374,,,,,,59
Buffalo,17,4,Luangwa,3557832.485,-1420264.787,,,,,,59
Buffalo,18,300,Luangwa,3567534.87,-1420341.114,,,,,,59
Buffalo,19,20,Luangwa,3568179.855,-1420348.644,,,,,,59
Buffalo,20,2,Luangwa,3574453.71,-1420338.147,,,,,,59
Buffalo,21,20,Luangwa,3573097.727,-1432664.77,,,,,,59
Buffalo,22,7,Luangwa,3564990.997,-1438782.617,,,,,,59
Buffalo,23,200,Luangwa,3557224.347,-1444964.113,,,,,,59
Buffalo,24,300,Luangwa,3557779.275,-1444957.49,,,,,,59
Buffalo,25,10,Luangwa,3562805.016,-1444930.885,,,,,,59
Buffalo,26,100,Luangwa,3574353.968,-1444904.735,,,,,,59
Buffalo,27,500,Luangwa,3561185.762,-1451123.531,,,,,,59
Buffalo,28,4,Luangwa,3547873.955,-1458196.368,,,,,,59
Buffalo,29,5,Luangwa,3551210.2,-1463491.726,,,,,,59
Buffalo,30,1,Luangwa,3551210.2,-1463491.726,,,,,,59
