cell_id,transect_id,natpark_in_out,survey_id,country_id,zebra_count,zebra_observations,livestock_count,livestock_observations,buffalo_count,buffalo_observations,agriculture_count,agriculture_observations,humanresources_count,humanresources_observations
45339,6303,0,871,19,0,0,0,0,0,0,0,0,0,0
45340,6303,0,871,19,0,0,0,0,0,0,0,0,0,0
45341,6303,1,871,19,0,0,0,0,0,0,0,0,0,0
45342,6303,1,871,19,0,0,0,0,0,0,0,0,0,0
45343,6303,1,871,19,0,0,0,0,0,0,0,0,0,0
45344,6303,1,871,19,0,0,0,0,0,0,0,0,0,0
45345,6303,1,871,19,0,0,0,0,0,0,0,0,0,0
45346,6303,1,871,19,0,0,0,0,0,0,0,0,0,0
45347,6303,1,871,19,0,0,0,0,0,0,0,0,0,0
45348,6303,1,871,19,0,0,0,0,0,0,0,0,0,0
45349,6303,1,871,19,0,0,0,0,0,0,0,0,0,0
45350,6303,1,871,19,0,0,0,0,0,0,0,0,0,0
45351,6303,1,871,19,0,0,0,0,2,1,0,0,0,0
45352,6303,1,871,19,0,0,0,0,0,0,0,0,0,0
45353,6303,1,871,19,0,0,0,0,3,1,0,0,0,0
45354,6303,1,871,19,1,1,0,0,0,0,0,0,0,0
45355,6303,1,871,19,0,0,0,0,0,0,0,0,0,0
45356,6304,1,871,19,0,0,0,0,0,0,0,0,0,0
45357,6304,1,871,19,0,0,0,0,0,0,0,0,0,0
45358,6304,1,871,19,0,0,0,0,0,0,0,0,0,0
45359,6304,1,871,19,0,0,0,0,0,0,0,0,0,0
45360,6304,1,871,19,0,0,0,0,0,0,0,0,0,0
45361,6304,1,871,19,0,0,0,0,0,0,0,0,0,0
45362,6304,1,871,19,0,0,0,0,0,0,0,0,0,0
45363,6304,1,871,19,0,0,0,0,0,0,0,0,0,0
45364,6304,1,871,19,0,0,0,0,0,0,0,0,0,0
45365,6304,1,871,19,0,0,0,0,0,0,0,0,0,0
45366,6304,1,871,19,0,0,0,0,0,0,0,0,0,0
45367,6304,1,871,19,4,1,0,0,0,0,0,0,0,0
45368,6304,1,871,19,0,0,0,0,0,0,0,0,0,0
45369,6304,1,871,19,0,0,0,0,0,0,0,0,0,0
45370,6304,1,871,19,0,0,0,0,0,0,0,0,0,0
45371,6304,1,871,19,0,0,0,0,0,0,0,0,0,0
45372,6304,1,871,19,0,0,0,0,0,0,0,0,0,0
45373,6304,1,871,19,0,0,0,0,0,0,0,0,0,0
45374,6305,1,871,19,0,0,0,0,0,0,0,0,0,0
45375,6305,1,871,19,0,0,0,0,0,0,0,0,0,0
45376,6305,1,871,19,0,0,0,0,0,0,0,0,0,0
45377,6305,1,871,19,0,0,0,0,0,0,0,0,0,0
45378,6305,1,871,19,4,1,0,0,0,0,0,0,0,0
45379,6305,1,871,19,0,0,0,0,0,0,0,0,0,0
45380,6305,1,871,19,0,0,0,0,0,0,0,0,0,0
45381,6305,1,871,19,0,0,0,0,0,0,0,0,0,0
45382,6305,1,871,19,0,0,0,0,0,0,0,0,0,0
45383,6305,1,871,19,0,0,0,0,0,0,0,0,0,0
45384,6305,1,871,19,0,0,0,0,0,0,0,0,0,0
45385,6305,1,871,19,0,0,0,0,0,0,0,0,0,0
45386,6305,1,871,19,0,0,0,0,0,0,0,0,0,0
45387,6305,1,871,19,0,0,0,0,0,0,0,0,0,0
45388,6305,1,871,19,0,0,0,0,0,0,0,0,0,0
45389,6305,1,871,19,0,0,0,0,0,0,0,0,0,0
45390,6305,1,871,19,0,0,0,0,0,0,0,0,0,0
45391,6305,1,871,19,0,0,0,0,0,0,0,0,0,0
45392,6305,1,871,19,0,0,0,0,0,0,0,0,0,0
45393,6306,1,871,19,0,0,0,0,0,0,0,0,0,0
45394,6306,1,871,19,0,0,0,0,0,0,0,0,0,0
45395,6306,1,871,19,0,0,0,0,0,0,0,0,0,0
45396,6306,1,871,19,0,0,0,0,0,0,0,0,0,0
45397,6306,1,871,19,0,0,0,0,0,0,0,0,0,0
45398,6306,1,871,19,0,0,0,0,0,0,0,0,0,0
45399,6306,1,871,19,0,0,0,0,0,0,0,0,0,0
45400,6306,1,871,19,0,0,0,0,0,0,0,0,0,0
45401,6306,1,871,19,0,0,0,0,0,0,0,0,0,0
45402,6306,1,871,19,1,1,0,0,0,0,0,0,0,0
45403,6306,1,871,19,0,0,0,0,0,0,0,0,0,0
45404,6306,1,871,19,0,0,0,0,0,0,0,0,0,0
45405,6306,1,871,19,0,0,0,0,0,0,0,0,0,0
45406,6306,1,871,19,0,0,0,0,0,0,0,0,0,0
45407,6306,1,871,19,0,0,0,0,0,0,0,0,0,0
45408,6306,1,871,19,0,0,0,0,0,0,0,0,0,0
45409,6306,1,871,19,2,1,0,0,0,0,0,0,0,0
45410,6306,1,871,19,0,0,0,0,0,0,0,0,0,0
45411,6307,1,871,19,0,0,0,0,0,0,0,0,0,0
45412,6307,1,871,19,0,0,0,0,0,0,0,0,0,0
45413,6307,1,871,19,1,1,0,0,0,0,0,0,0,0
45414,6307,1,871,19,0,0,0,0,0,0,0,0,0,0
45415,6307,1,871,19,0,0,0,0,0,0,0,0,0,0
45416,6307,1,871,19,0,0,0,0,0,0,0,0,0,0
45417,6307,1,871,19,0,0,0,0,0,0,0,0,0,0
45418,6307,1,871,19,0,0,0,0,0,0,0,0,0,0
45419,6307,1,871,19,0,0,0,0,0,0,0,0,0,0
45420,6307,1,871,19,0,0,0,0,0,0,0,0,0,0
45421,6307,1,871,19,0,0,0,0,0,0,0,0,0,0
45422,6307,1,871,19,0,0,0,0,0,0,0,0,0,0
45423,6307,1,871,19,0,0,0,0,0,0,0,0,0,0
45424,6307,1,871,19,0,0,0,0,0,0,0,0,0,0
45425,6307,1,871,19,0,0,0,0,0,0,0,0,0,0
45426,6307,1,871,19,0,0,0,0,0,0,0,0,0,0
45427,6307,1,871,19,0,0,0,0,0,0,0,0,0,0
45428,6307,1,871,19,0,0,0,0,0,0,0,0,0,0
45429,6308,1,871,19,0,0,0,0,0,0,0,0,0,0
45430,6308,1,871,19,0,0,0,0,0,0,0,0,0,0
45431,6308,1,871,19,0,0,0,0,0,0,0,0,0,0
45432,6308,1,871,19,0,0,0,0,0,0,0,0,0,0
45433,6308,1,871,19,0,0,0,0,0,0,0,0,0,0
45434,6308,1,871,19,0,0,0,0,0,0,0,0,0,0
45435,6308,1,871,19,0,0,0,0,0,0,0,0,0,0
45436,6308,1,871,19,0,0,0,0,0,0,0,0,0,0
45437,6308,1,871,19,0,0,0,0,0,0,0,0,0,0
45438,6308,1,871,19,0,0,0,0,0,0,0,0,0,0
45439,6308,1,871,19,0,0,0,0,0,0,0,0,0,0
45440,6308,1,871,19,0,0,0,0,0,0,0,0,0,0
45441,6308,1,871,19,0,0,0,0,0,0,0,0,0,0
45442,6308,1,871,19,0,0,0,0,0,0,0,0,0,0
45443,6308,1,871,19,0,0,0,0,0,0,0,0,0,0
45444,6308,1,871,19,0,0,0,0,0,0,0,0,0,0
45445,6308,1,871,19,0,0,0,0,0,0,0,0,0,0
45446,6308,1,871,19,0,0,0,0,0,0,0,0,0,0
45447,6309,1,871,19,0,0,0,0,0,0,0,0,0,0
45448,6309,1,871,19,0,0,0,0,0,0,0,0,0,0
45449,6309,1,871,19,0,0,0,0,0,0,0,0,0,0
45450,6309,1,871,19,0,0,0,0,0,0,0,0,0,0
45451,6309,1,871,19,0,0,0,0,0,0,0,0,0,0
45452,6309,1,871,19,0,0,0,0,0,0,0,0,0,0
45453,6309,1,871,19,0,0,0,0,0,0,0,0,0,0
45454,6309,1,871,19,0,0,0,0,0,0,0,0,0,0
45455,6309,1,871,19,0,0,0,0,0,0,0,0,0,0
45456,6309,1,871,19,0,0,0,0,0,0,0,0,0,0
45457,6309,1,871,19,0,0,0,0,0,0,0,0,0,0
45458,6309,1,871,19,8,1,0,0,0,0,0,0,0,0
45459,6309,1,871,19,0,0,0,0,0,0,0,0,0,0
45460,6309,1,871,19,0,0,0,0,0,0,0,0,0,0
45461,6309,1,871,19,0,0,0,0,0,0,0,0,0,0
45462,6310,1,871,19,0,0,0,0,0,0,0,0,0,0
45463,6310,1,871,19,0,0,0,0,0,0,0,0,0,0
45464,6310,1,871,19,0,0,0,0,0,0,0,0,0,0
45465,6310,1,871,19,0,0,0,0,0,0,0,0,0,0
45466,6310,1,871,19,0,0,0,0,0,0,0,0,0,0
45467,6310,1,871,19,0,0,0,0,0,0,0,0,0,0
