cell_id,transect_id,natpark_in_out,survey_id,country_id,zebra_count,zebra_observations,livestock_count,livestock_observations,buffalo_count,buffalo_observations,agriculture_count,agriculture_observations,humanresources_count,humanresources_observations
35339,5852,0,833,17,0,0,0,0,0,0,0,0,0,0
35340,5852,0,833,17,0,0,0,0,0,0,0,0,0,0
35341,5852,1,833,17,0,0,0,0,0,0,0,0,0,0
35342,5852,1,833,17,0,0,0,0,0,0,0,0,0,0
35343,5852,1,833,17,0,0,0,0,0,0,0,0,0,0
35344,5852,1,833,17,0,0,0,0,0,0,0,0,0,0
35345,5852,1,833,17,0,0,0,0,0,0,0,0,0,0
35346,5852,1,833,17,0,0,0,0,0,0,0,0,0,0
35347,5852,1,833,17,0,0,0,0,0,0,0,0,0,0
35348,5852,0,833,17,0,0,0,0,0,0,0,0,0,0
35349,5852,0,833,17,0,0,0,0,0,0,0,0,0,0
35350,5852,0,833,17,0,0,0,0,0,0,0,0,0,0
35351,5852,0,833,17,0,0,0,0,0,0,0,0,0,0
35352,5852,0,833,17,0,0,0,0,0,0,0,0,0,0
35353,5852,0,833,17,0,0,0,0,0,0,0,0,0,0
35354,5852,0,833,17,0,0,0,0,0,0,0,0,0,0
35355,5852,0,833,17,0,0,0,0,0,0,0,0,0,0
35356,5852,0,833,17,0,0,0,0,0,0,0,0,0,0
35357,5852,0,833,17,0,0,0,0,0,0,0,0,0,0
35358,5852,0,833,17,0,0,0,0,0,0,0,0,0,0
35359,5852,0,833,17,0,0,0,0,0,0,0,0,0,0
35360,5852,0,833,17,0,0,0,0,0,0,0,0,0,0
35361,5852,0,833,17,0,0,0,0,0,0,0,0,0,0
35362,5852,0,833,17,0,0,0,0,0,0,0,0,0,0
35363,5852,0,833,17,0,0,0,0,0,0,0,0,0,0
35364,5852,0,833,17,0,0,0,0,0,0,0,0,0,0
35365,5852,0,833,17,0,0,0,0,0,0,0,0,0,0
35366,5852,0,833,17,0,0,0,0,0,0,0,0,0,0
35367,5851,0,833,17,0,0,0,0,0,0,0,0,0,0
35368,5851,0,833,17,0,0,0,0,0,0,0,0,0,0
35369,5851,1,833,17,0,0,0,0,0,0,0,0,0,0
35370,5851,1,833,17,0,0,0,0,0,0,0,0,0,0
35371,5851,1,833,17,0,0,0,0,0,0,0,0,0,0
35372,5851,1,833,17,0,0,0,0,0,0,0,0,0,0
35373,5851,1,833,17,0,0,0,0,0,0,0,0,0,0
35374,5851,1,833,17,0,0,0,0,0,0,0,0,0,0
35375,5851,0,833,17,0,0,0,0,0,0,0,0,0,0
35376,5851,0,833,17,0,0,0,0,0,0,0,0,0,0
35377,5851,0,833,17,0,0,0,0,0,0,0,0,0,0
35378,5851,0,833,17,0,0,0,0,0,0,0,0,0,0
35379,5851,0,833,17,0,0,0,0,0,0,0,0,0,0
35380,5851,0,833,17,0,0,0,0,0,0,0,0,0,0
35381,5851,0,833,17,0,0,0,0,0,0,0,0,0,0
35382,5851,0,833,17,0,0,0,0,0,0,0,0,0,0
35383,5851,0,833,17,0,0,0,0,0,0,0,0,0,0
35384,5851,0,833,17,0,0,0,0,0,0,0,0,0,0
35385,5851,0,833,17,0,0,0,0,0,0,0,0,0,0
35386,5851,0,833,17,0,0,0,0,0,0,0,0,0,0
35387,5851,0,833,17,0,0,0,0,0,0,0,0,0,0
35388,5851,0,833,17,0,0,0,0,0,0,0,0,0,0
35389,5851,0,833,17,0,0,0,0,0,0,0,0,0,0
35390,5851,0,833,17,0,0,0,0,0,0,0,0,0,0
35391,5851,0,833,17,0,0,0,0,0,0,0,0,0,0
35392,5851,0,833,17,0,0,0,0,0,0,0,0,0,0
35393,5851,0,833,17,0,0,0,0,0,0,0,0,0,0
35394,5851,0,833,17,0,0,0,0,0,0,0,0,0,0
35395,5850,0,833,17,0,0,0,0,0,0,0,0,0,0
35396,5850,1,833,17,0,0,0,0,0,0,0,0,0,0
35397,5850,1,833,17,0,0,0,0,0,0,0,0,0,0
